Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 2372 0.0475151
25 20 30 3033 0.060756
35 30 40 4337 0.0868773
45 40 50 6470 0.129605
55 50 60 7223 0.144689
65 60 70 6854 0.137297
75 70 80 5353 0.107229
85 80 90 3841 0.0769416
95 90 100 2671 0.0535045
105 100 110 1901 0.0380802
115 110 120 1421 0.028465
125 120 130 1029 0.0206126
135 130 140 748 0.0149837
145 140 150 545 0.0109172
155 150 160 392 0.00785241
165 160 170 305 0.00610965
175 170 180 273 0.00546864
185 180 190 197 0.00394623
195 190 200 121 0.00242383
205 200 210 101 0.0020232
215 210 220 94 0.00188298
225 220 230 92 0.00184291
235 230 240 65 0.00130206
245 240 250 59 0.00118187
255 250 260 52 0.00104165
265 260 270 46 0.000921456
275 270 280 38 0.000761203
285 280 290 57 0.0011418
295 290 300 43 0.000861361
305 300 310 27 0.000540855
315 310 320 28 0.000560886
325 320 330 18 0.00036057
335 330 340 28 0.000560886
345 340 350 29 0.000580918
355 350 360 25 0.000500791
365 360 370 15 0.000300475
375 370 380 6 0.00012019
385 380 390 4 8.01266e-05
395 390 400 6 0.00012019
405 400 410 2 4.00633e-05
415 410 420 0 0
425 420 430 0 0
